,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Sku_id,Update_time,rate,Munit,Forecast_box,SS,Inventory,Suggestion_qty,Sales_box,Date_timestamp
78,65270,上海,007,007,上海,A级-美国车厘子(中),2020-07-08,65270,2020-07-07,10.0,斤,53.0,10.8496214548843,155.0,0.0,13.0,2020-07-08 09:36:27
79,07390,上海,007,007,上海,黄金车厘子,2020-07-08,07390,2020-07-07,8.0,斤,1.0,1.0,5.0,0.0,1.0,2020-07-08 09:36:27
80,01270,上海,007,007,上海,A级-冰糖木瓜,2020-07-08,01270,2020-07-07,8.0,斤,2.0,1.0,3.0,0.0,2.0,2020-07-08 09:36:27
81,10720,上海,007,007,上海,A级-泰国山竹(大),2020-07-08,10720,2020-07-07,15.0,斤,8.0,5.0,2.0,11.0,6.0,2020-07-08 09:36:27
82,11580,上海,007,007,上海,A级-满山红富士(小),2020-07-08,11580,2020-07-07,23.0,斤,47.0,10.301575072754254,22.0,35.0,40.0,2020-07-08 09:36:27
83,44203,上海,007,007,上海,日式梅饼168g,2020-07-08,44203,2020-07-07,12.0,罐,1.0,1.0,4.0,0.0,0.0,2020-07-08 09:36:27
84,05220,上海,007,007,上海,A级-鲜丰玉麒麟(4#),2020-07-08,05220,2020-07-07,1.0,斤,10052.0,5.0,164.0,0.0,486.0,2020-07-08 09:36:27
85,40680,上海,007,007,上海,越南酸奶百香果味,2020-07-08,40680,2020-07-07,12.0,盒,5.0,5.0,0.0,0.0,1.0,2020-07-08 09:36:27
86,07600,上海,007,007,上海,A级-菲律宾凤梨(大),2020-07-08,07600,2020-07-07,29.0,斤,62.0,6.496466857658328,-18.0,86.0,58.0,2020-07-08 09:36:27
87,13802,上海,007,007,上海,A级-桃花李,2020-07-10,13802,2020-07-07,13.0,斤,33.0,5.0,44.0,0.0,29.0,2020-07-08 09:36:27
88,06860,上海,007,007,上海,珍贵-黄金火龙果,2020-07-08,06860,2020-07-07,7.0,只,0.0,0.0,1.0,0.0,0.0,2020-07-08 09:36:27
89,40147,上海,007,007,上海,吐司面包,2020-07-08,40147,2020-07-07,1.0,小箱,9.0,5.0,137.0,0.0,9.0,2020-07-08 09:36:27
90,16040,上海,007,007,上海,A级-进口蕉,2020-07-08,16040,2020-07-07,27.0,斤,61.0,5.0,0.0,66.0,50.0,2020-07-08 09:36:27
91,05950,上海,007,007,上海,A级-甘美皇,2020-07-08,05950,2020-07-07,1.0,斤,1942.0,5.0,167.0,0.0,39.0,2020-07-08 09:36:27
92,13797,上海,007,007,上海,A级-玉荷包荔枝,2020-07-08,13797,2020-07-07,10.0,斤,198.0,5.0,0.0,0.0,0.0,2020-07-08 09:36:27
93,05010,上海,007,007,上海,A级-京蜜麒麟瓜,2020-07-08,05010,2020-07-07,1.0,斤,14463.0,1743.652845292881,1030.0,0.0,562.0,2020-07-08 09:36:27
94,12070,上海,007,007,上海,A级-千禧小番茄(中),2020-07-10,12070,2020-07-07,7.0,斤,138.0,13.932783245984696,109.0,43.0,141.0,2020-07-08 09:36:27
95,12050,上海,007,007,上海,A级-小黄瓜,2020-07-10,12050,2020-07-07,7.0,斤,91.0,5.0,33.0,63.0,89.0,2020-07-08 09:36:27
96,11590,上海,007,007,上海,A级-满山红富士(中),2020-07-08,11590,2020-07-07,24.0,斤,106.0,44.57203906785808,631.0,0.0,94.0,2020-07-08 09:36:27
97,40109,上海,007,007,上海,椰子可可夹心雪糕,2020-07-08,40109,2020-07-07,30.0,支,0.0,0.0,18.0,0.0,0.0,2020-07-08 09:36:27
98,15130,上海,007,007,上海,A级-佳沛阳光金果(大),2020-07-08,15130,2020-07-07,52.0,个,8.0,1.0,291.0,0.0,8.0,2020-07-08 09:36:27
99,07930,上海,007,007,上海,A级-海南莲雾(小),2020-07-09,07930,2020-07-07,3.0,斤,5.0,1.0,15.0,0.0,5.0,2020-07-08 09:36:27
100,12090,上海,007,007,上海,A级-新疆吊干杏,2020-07-10,12090,2020-07-07,4.0,斤,129.0,21.447196138941383,180.0,0.0,131.0,2020-07-08 09:36:27
101,13410,上海,007,007,上海,A级-羊角蜜,2020-07-08,13410,2020-07-07,10.0,斤,9.0,4.0,0.0,13.0,9.0,2020-07-08 09:36:27
102,08330,上海,007,007,上海,冷冻榴莲(无核),2020-07-08,08330,2020-07-07,20.0,盒,2.0,2.0,17.0,0.0,2.0,2020-07-08 09:36:27
103,40039,上海,007,007,上海,黄桃汁,2020-07-08,40039,2020-07-07,8.0,瓶,10.0,5.0,65.0,0.0,2.0,2020-07-08 09:36:27
104,40153,上海,007,007,上海,小米蛋糕,2020-07-08,40153,2020-07-07,1.0,小箱,24.0,5.0,239.0,0.0,24.0,2020-07-08 09:36:27
105,13060,上海,007,007,上海,A级-库尔勒香梨,2020-07-08,13060,2020-07-07,10.0,斤,24.0,5.0,0.0,29.0,24.0,2020-07-08 09:36:27
