,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Sku_id,Update_time,rate,Munit,Forecast_box,SS,Distribution_rule,Inventory,Suggestion_qty,Sales_box,Date_timestamp,lms_three,in_transit_stock
22,12070,合肥,006,006,合肥,A级-千禧小番茄(中),2020-07-12,12070,2020-07-09,4.0,斤,500,10.827968320935542,未考虑,0,511.0,466,2020-07-10 09:08:53,776,0.0
23,40084,合肥,006,006,合肥,新椰汁,2020-07-10,40084,2020-07-09,12.0,瓶,203,15.810097522579339,未考虑,3779,0.0,206,2020-07-10 09:08:53,163,0.0
24,11050,合肥,006,006,合肥,A级-国产黑布林(中),2020-07-10,11050,2020-07-09,13.0,斤,46,5.0,未考虑,59,0.0,37,2020-07-10 09:08:53,42,0.0
25,13570,合肥,006,006,合肥,经典-瑞姬娜车厘子(XL),2020-07-11,13570,2020-07-09,10.0,斤,749,5.0,未考虑,45,709.0,749,2020-07-10 09:08:53,89,0.0
26,06860,合肥,006,006,合肥,珍贵-黄金火龙果,2020-07-10,06860,2020-07-09,6.0,只,1,1.0,未考虑,6,0.0,0,2020-07-10 09:08:53,1,0.0
27,16040,合肥,006,006,合肥,A级-进口蕉,2020-07-10,16040,2020-07-09,27.0,斤,100,5.0,未考虑,0,105.0,100,2020-07-10 09:08:53,87,0.0
28,14060,合肥,006,006,合肥,A级-鹰嘴芒(中),2020-07-10,14060,2020-07-09,10.0,斤,98,5.0,未考虑,2,101.0,98,2020-07-10 09:08:53,46,150.0
29,40042,合肥,006,006,合肥,奇异果苹果复合果汁饮品,2020-07-10,40042,2020-07-09,8.0,瓶,11,5.0,未考虑,43,0.0,2,2020-07-10 09:08:53,9,0.0
30,04170,合肥,006,006,合肥,经典-树顶红富士(大),2020-07-10,04170,2020-07-09,18.0,斤,50,5.0,未考虑,760,0.0,32,2020-07-10 09:08:53,61,0.0
31,07200,合肥,006,006,合肥,A级-进口柠檬,2020-07-10,07200,2020-07-09,10.0,斤,5,4.0,未考虑,200,0.0,5,2020-07-10 09:08:53,10,0.0
32,05200,合肥,006,006,合肥,A级-沙洲绿宝瓜(中),2020-07-10,05200,2020-07-09,12.0,斤,1059,46.76908101273222,未考虑,35,1071.0,1077,2020-07-10 09:08:53,799,0.0
33,40108,合肥,006,006,合肥,草莓芝芝夹心雪糕,2020-07-10,40108,2020-07-09,30.0,支,3,3.0,未考虑,19,0.0,1,2020-07-10 09:08:53,0,0.0
34,06440,合肥,006,006,合肥,A级-南非蜜桔(中),2020-07-10,06440,2020-07-09,20.0,斤,41,6.267831705280087,未考虑,214,0.0,40,2020-07-10 09:08:53,46,0.0
35,08340,合肥,006,006,合肥,精品冷冻榴莲肉(有核),2020-07-10,08340,2020-07-09,20.0,盒,2,2.0,未考虑,89,0.0,2,2020-07-10 09:08:53,1,0.0
36,01230,合肥,006,006,合肥,A级-巨峰葡萄,2020-07-11,01230,2020-07-09,10.0,斤,616,98.98845531532596,未考虑,0,715.0,600,2020-07-10 09:08:53,741,0.0
37,65270,合肥,006,006,合肥,A级-美国车厘子(中),2020-07-10,65270,2020-07-09,18.0,斤,77,6.828810515838353,未考虑,58,26.0,76,2020-07-10 09:08:53,6,0.0
38,07930,合肥,006,006,合肥,A级-海南莲雾(小),2020-07-11,07930,2020-07-09,3.0,斤,5,2.0,未考虑,0,7.0,5,2020-07-10 09:08:53,9,0.0
39,13737,合肥,006,006,合肥,A级-大红桃(中),2020-07-10,13737,2020-07-09,30.0,斤,238,5.0,未考虑,391,0.0,147,2020-07-10 09:08:53,102,0.0
40,06850,合肥,006,006,合肥,A级-百香果(盒),2020-07-10,06850,2020-07-09,6.0,盒,37,5.0,未考虑,12,30.0,37,2020-07-10 09:08:53,34,0.0
41,06410,合肥,006,006,合肥,A级-澳柑(中),2020-07-10,06410,2020-07-09,18.0,斤,75,5.0,未考虑,255,0.0,75,2020-07-10 09:08:53,11,0.0
42,40036,合肥,006,006,合肥,香辣海带结192g,2020-07-10,40036,2020-07-09,12.0,包,5,5.0,未考虑,151,0.0,5,2020-07-10 09:08:53,7,0.0
43,02010,合肥,006,006,合肥,A级-白凤桃(中),2020-07-10,02010,2020-07-09,7.0,斤,62,5.0,未考虑,71,0.0,49,2020-07-10 09:08:53,56,0.0
44,06680,合肥,006,006,合肥,A级-阳光丑蜜梨(中),2020-07-10,06680,2020-07-09,10.0,斤,44,5.0,未考虑,63,0.0,16,2020-07-10 09:08:53,46,0.0
45,40043,合肥,006,006,合肥,橙汁,2020-07-10,40043,2020-07-09,8.0,瓶,16,6.16937796619691,未考虑,74,0.0,5,2020-07-10 09:08:53,8,0.0
46,07190,合肥,006,006,合肥,A级-黑了好吃牛油果,2020-07-10,07190,2020-07-09,5.0,只,61,5.0,未考虑,154,0.0,28,2020-07-10 09:08:53,59,0.0
47,40037,合肥,006,006,合肥,香辣海带片218g,2020-07-10,40037,2020-07-09,12.0,包,5,3.0,未考虑,138,0.0,5,2020-07-10 09:08:53,6,0.0
48,40300,合肥,006,006,合肥,越南酸奶草莓味,2020-07-10,40300,2020-07-09,12.0,盒,15,5.0,未考虑,18,0.0,15,2020-07-10 09:08:53,16,0.0
49,06120,合肥,006,006,合肥,A级-火箭筒苹果,2020-07-10,06120,2020-07-09,5.0,条,7,4.0,未考虑,11,0.0,6,2020-07-10 09:08:53,2,0.0
50,07350,合肥,006,006,合肥,A级-泰国椰青(大),2020-07-11,07350,2020-07-09,9.0,只,190,5.0,未考虑,104,91.0,194,2020-07-10 09:08:53,165,0.0
51,13798,合肥,006,006,合肥,A级-以色列留香橙(中),2020-07-11,13798,2020-07-09,30.0,斤,7,5.0,未考虑,59,0.0,5,2020-07-10 09:08:53,4,0.0
52,65450,合肥,006,006,合肥,A级-国产蓝莓(中),2020-07-10,65450,2020-07-09,12.0,盒,275,41.62049142096293,未考虑,179,138.0,272,2020-07-10 09:08:53,279,3600.0
53,40387,合肥,006,006,合肥,袋装椰汁5包装,2020-07-11,40387,2020-07-09,6.0,袋,17,5.0,未考虑,0,22.0,12,2020-07-10 09:08:53,28,0.0
54,12130,合肥,006,006,合肥,A级-原种红玉木瓜,2020-07-10,12130,2020-07-09,4.0,斤,54,5.0,未考虑,52,7.0,53,2020-07-10 09:08:53,70,0.0
55,40137,合肥,006,006,合肥,认养一头牛常温酸奶,2020-07-10,40137,2020-07-09,12.0,包,349,12.69098989400732,未考虑,2116,0.0,213,2020-07-10 09:08:53,210,0.0
56,01070,合肥,006,006,合肥,A级-夏黑葡萄,2020-07-10,01070,2020-07-09,8.0,斤,232,125.60937180686116,未考虑,101,257.0,206,2020-07-10 09:08:53,236,0.0
