,Price,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,Account_date,Forecast_qty,Sku_id,Update_time,rate,Munit,min_order,Forecast_box,SS,Forecast_box_tomorrow,Stock,Inventory,Suggestion_qty
57,7570,07570,杭州,001,001,杭州,菲诺椰子冻,2020-06-15,178,07570,2020-06-14,6.0,只,1.0,38,16.740516657474572,28,157,121,0
58,43490,43490,杭州,001,001,杭州,芙蓉李条,2020-06-15,13,43490,2020-06-14,12.0,罐,10.0,1,10.0,1,193,193,0
59,40670,40670,杭州,001,001,杭州,越南酸奶芦荟味,2020-06-15,139,40670,2020-06-14,12.0,盒,1.0,13,12.0,9,1464,1454,0
60,7340,07340,杭州,001,001,杭州,A级-火参果,2020-06-15,47,07340,2020-06-14,8.0,个,1.0,6,10.0,6,14,10,6
61,7340,07340,杭州,001,001,杭州,A级-火参果,2020-06-15,47,07340,2020-06-14,8.0,个,1.0,6,10.0,6,14,10,6
62,7340,07340,杭州,001,001,杭州,A级-火参果,2020-06-15,47,07340,2020-06-14,8.0,个,1.0,6,10.0,6,14,10,6
63,7340,07340,杭州,001,001,杭州,A级-火参果,2020-06-15,47,07340,2020-06-14,8.0,个,1.0,6,10.0,6,14,10,6
64,7340,07340,杭州,001,001,杭州,A级-火参果,2020-06-15,47,07340,2020-06-14,8.0,个,1.0,6,10.0,6,14,10,6
65,7340,07340,杭州,001,001,杭州,A级-火参果,2020-06-15,47,07340,2020-06-14,8.0,个,1.0,6,10.0,6,14,10,6
66,6000,06000,杭州,001,001,杭州,A级-进口红玫瑰苹果(中),2020-06-15,38,06000,2020-06-14,9.0,斤,1.0,13,10.0,4,21,8,15
67,65270,65270,杭州,001,001,杭州,A级-美国车厘子(中),2020-06-15,395,65270,2020-06-14,10.0,斤,1.0,40,10.0,46,214,176,0
68,13737,13737,杭州,001,001,杭州,A级-大红桃(中),2020-06-15,15378,13737,2020-06-14,30.0,斤,1.0,529,10.0,513,700,171,368
69,7970,07970,杭州,001,001,杭州,A级-红树莓,2020-06-15,23,07970,2020-06-14,12.0,盒,1.0,4,10.0,1,9,6,8
